just_date,Count,TMAX
2016-11-04,16,68
2016-11-05,11,65
2016-11-09,10,61
2016-11-13,19,62
2016-11-15,17,64
2016-11-17,8,83
2016-11-25,12,47
2016-11-26,18,52
2012-12-02,19,75
2012-12-14,11,58
2016-02-24,13,44
2016-04-19,17,77
2016-04-24,26,83
2016-04-25,18,87
2015-06-04,15,78
2015-06-07,19,94
2016-08-11,17,98
2016-08-12,21,93
2016-08-16,16,87
2016-08-18,13,92
2016-08-26,15,88
2016-08-28,13,96
2016-09-02,12,81
2016-09-05,23,95
2011-09-13,19,93
2016-09-14,15,87
2016-09-18,15,83
2016-09-22,20,90
2016-09-25,21,91
2016-09-28,14,70
2016-09-29,13,71
2016-10-03,12,76
2016-10-04,21,83
2016-10-05,24,85
2016-10-06,26,87
2016-10-07,12,73
2016-10-08,14,73
2016-10-11,18,82
2016-10-13,12,60
2016-10-15,23,82
2016-10-16,20,88
2016-10-17,11,91
2016-10-20,17,64
2016-10-21,7,61
2016-10-22,27,70
2015-10-24,27,71
2016-10-25,4,69
2016-01-02,19,48
2016-03-01,17,56
2016-03-12,13,60
2016-03-31,16,73
2016-05-16,28,59
2015-06-01,23,67
2016-06-29,12,83
2016-07-06,25,87
2016-07-15,19,88
2016-07-16,27,87
2016-08-07,27,87
2016-08-17,17,89
2016-08-20,13,83
2016-08-22,10,85
2016-09-03,18,83
2016-09-04,33,88
2016-09-06,18,95
2016-09-07,27,96
2016-09-08,13,85
2016-09-11,23,80
2016-09-16,3,78
2016-09-17,17,83
2016-09-19,19,88
2016-09-20,13,93
2016-09-26,17,76
2015-12-15,10,49
2010-01-01,36,22
2016-01-03,17,39
2016-01-12,18,39
2016-01-18,14,18
2013-02-15,12,42
2016-05-27,15,79
2016-06-28,19,88
2016-07-08,29,93
2016-07-09,15,89
2016-07-13,19,95
2016-07-14,21,92
2016-07-19,20,95
2016-07-21,14,98
2016-07-23,16,96
2016-07-25,19,90
2016-07-27,8,93
2016-07-28,29,91
2016-07-30,13,87
2016-07-31,24,92
2016-08-03,16,88
2016-08-04,17,97
2016-08-06,19,86
2016-08-08,12,88
2016-08-09,19,93
2016-08-10,19,94
2016-08-13,16,88
2016-08-14,17,76
2016-08-15,18,80
2016-08-19,22,89
2016-08-21,25,82
2016-08-24,11,95
2016-08-29,19,94
2013-08-30,19,102
